Start Time,Duration,Title,weekday,hour
2019-07-12 00:00:58-07:00,0 days 00:13:10.000000000,Schitt's Creek: Season 2: Ronnie's Party (Episode 10),4,0
2019-07-11 23:47:50-07:00,0 days 00:08:23.000000000,Schitt's Creek: Season 2: Ronnie's Party (Episode 10),3,23
2019-07-11 23:26:14-07:00,0 days 00:21:33.000000000,Schitt's Creek: Season 2: Moira's Nudes (Episode 9),3,23
2019-07-11 23:04:37-07:00,0 days 00:21:32.000000000,Schitt's Creek: Season 2: Milk Money (Episode 8),3,23
2019-07-11 22:42:59-07:00,0 days 00:21:36.000000000,Schitt's Creek: Season 2: The Candidate (Episode 7),3,22
2019-07-11 22:21:36-07:00,0 days 00:21:20.000000000,Schitt's Creek: Season 2: Moira vs. Town Council (Episode 6),3,22
2019-07-11 22:00:01-07:00,0 days 00:21:32.000000000,Schitt's Creek: Season 2: Bob's Bagels (Episode 5),3,22
2019-07-11 21:38:27-07:00,0 days 00:21:31.000000000,Schitt's Creek: Season 2: Estate Sale (Episode 4),3,21
2019-07-11 21:09:58-07:00,0 days 00:21:32.000000000,Schitt's Creek: Season 2: Jazzagals (Episode 3),3,21
2019-07-11 20:48:23-07:00,0 days 00:21:32.000000000,Schitt's Creek: Season 2: Family Dinner (Episode 2),3,20
2019-07-11 20:26:49-07:00,0 days 00:21:31.000000000,Schitt's Creek: Season 2: Finding David (Episode 1),3,20
2019-07-11 20:05:13-07:00,0 days 00:21:34.000000000,Schitt's Creek: Season 1: Town for Sale (Episode 13),3,20
2019-07-08 00:19:12-07:00,0 days 00:01:25.000000000,Schitt's Creek: Season 1: Town for Sale (Episode 13),0,0
2019-07-07 23:57:40-07:00,0 days 00:21:28.000000000,Schitt's Creek: Season 1: Surprise Party (Episode 12),6,23
2019-07-07 23:55:20-07:00,0 days 00:02:17.000000000,Schitt's Creek: Season 1: Little Sister (Episode 11),6,23
2019-07-06 23:43:44-07:00,0 days 00:19:11.000000000,Schitt's Creek: Season 1: Little Sister (Episode 11),5,23
2019-07-06 23:22:13-07:00,0 days 00:21:28.000000000,Schitt's Creek: Season 1: Honeymoon (Episode 10),5,23
2019-07-06 23:12:46-07:00,0 days 00:09:19.000000000,Schitt's Creek: Season 1: Carl's Funeral (Episode 9),5,23
2019-06-02 20:24:55-07:00,0 days 00:11:51.000000000,Schitt's Creek: Season 1: Carl's Funeral (Episode 9),6,20
2018-12-14 21:32:27-08:00,0 days 00:18:41.000000000,Schitt's Creek: Season 1: Allez-Vous (Episode 8),4,21
2018-12-14 20:50:17-08:00,0 days 00:02:43.000000000,Schitt's Creek: Season 1: Allez-Vous (Episode 8),4,20
2018-12-14 20:47:34-08:00,0 days 00:02:40.000000000,Schitt's Creek: Season 1: Turkey Shoot (Episode 7),4,20
2018-12-07 23:40:03-08:00,0 days 00:18:48.000000000,Schitt's Creek: Season 1: Turkey Shoot (Episode 7),4,23
2018-12-07 23:18:32-08:00,0 days 00:21:28.000000000,Schitt's Creek: Season 1: Wine and Roses (Episode 6),4,23
2018-12-07 22:57:02-08:00,0 days 00:21:27.000000000,Schitt's Creek: Season 1: The Cabin (Episode 5),4,22
2018-12-07 22:17:32-08:00,0 days 00:21:32.000000000,Schitt's Creek: Season 1: Bad Parents (Episode 4),4,22
2018-12-07 22:11:33-08:00,0 days 00:05:56.000000000,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",4,22
2018-12-06 21:04:16-08:00,0 days 00:15:30.000000000,"Schitt's Creek: Season 1: Don't Worry, It's His Sister (Episode 3)",3,21
2018-12-06 20:36:01-08:00,0 days 00:21:33.000000000,Schitt's Creek: Season 1: The Drip (Episode 2),3,20
2018-12-06 20:10:19-08:00,0 days 00:21:17.000000000,Schitt's Creek: Season 1: Our Cup Runneth Over (Episode 1),3,20
